🕘️公告,#genre#
东南卫视,http://39.134.65.173/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://39.134.65.77/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
安多卫视,http://39.134.65.78/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
浙江卫视,http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
深圳卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226313/index.m3u8?IASHttpSessionId=
安徽卫视,http://39.134.65.141/PLTV/88888888/224/3221225925/1.m3u8
甘肃卫视,http://39.134.65.67/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://39.134.65.173/PLTV/88888888/224/3221225966/1.m3u8
广西卫视,http://39.134.65.141/PLTV/88888888/224/3221226024/1.m3u8
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.65.173/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.65.79/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
海南卫视,http://39.134.65.173/PLTV/88888888/224/3221225978/1.m3u8
海南卫视,http://39.134.65.75/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
河北卫视,http://39.134.65.173/PLTV/88888888/224/3221225961/1.m3u8
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226060/1.m3u8
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226122/1.m3u8
湖北卫视,http://39.134.65.173/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://39.134.65.70/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8
康巴卫视,http://39.134.65.65/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
辽宁卫视,http://39.134.65.173/PLTV/88888888/224/3221225499/1.m3u8
辽宁卫视,http://39.134.65.173/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.134.65.4/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://39.134.65.78/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://39.134.65.7/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://39.134.65.76/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东教育卫视,http://39.134.65.79/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8
山西卫视,http://39.134.65.8/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://39.134.65.2/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
四川卫视,http://39.134.65.173/PLTV/88888888/224/3221225970/1.m3u8
天津卫视,http://39.134.65.173/PLTV/88888888/224/3221225972/1.m3u8
西藏卫视,http://39.134.65.72/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
延边卫视,http://39.134.65.181/PLTV/88888888/224/3221226040/1.m3u8

家庭剧场,http://39.134.65.3/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
古装剧场,http://39.134.65.73/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
军旅剧场,http://39.134.65.76/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
超级电影,http://39.134.65.3/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级体育,http://39.134.65.66/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级综艺,http://39.134.65.4/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
爱情喜剧,http://39.134.65.82/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
惊悚悬疑,http://39.134.65.89/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
东北热剧,http://39.134.65.74/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
潮妈辣妹,http://39.134.65.70/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
武博世界,http://39.134.65.64/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://39.134.65.62/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.64.87:6610/PLTV/88888888/224/3221225743/index.m3u8?IASHttpSessionId=
热播精选,http://39.134.65.166/PLTV/88888888/224/3221225521/1.m3u8
爱情喜剧,http://39.134.65.164/PLTV/88888888/224/3221225533/1.m3u8
超级电视剧,http://39.134.65.179/PLTV/88888888/224/3221225637/1.m3u8
超级电影,http://39.134.65.164/PLTV/88888888/224/3221225644/1.m3u8
超级体育,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/1.m3u8
超级综艺,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/1.m3u8
潮妈辣婆,http://39.134.65.164/PLTV/88888888/224/3221225542/1.m3u8
东北热剧,http://39.135.137.47:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/1.m3u8
动作电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/1.m3u8
古装剧场,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
海外剧场,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
黑莓电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/1.m3u8
欢乐剧场,http://39.134.65.173/PLTV/88888888/224/3221225682/1.m3u8
家庭剧场,http://39.134.65.166/PLTV/88888888/224/3221225538/1.m3u8
金牌综艺,http://39.134.65.173/PLTV/88888888/224/3221225525/1.m3u8
惊悚悬疑,http://39.134.65.166/PLTV/88888888/224/3221225553/1.m3u8
精品大剧,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品纪录,http://39.134.65.75:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
精品萌宠,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
精品体育,http://39.134.65.166/PLTV/88888888/224/3221225526/1.m3u8
精品综合,http://39.134.65.166/PLTV/88888888/224/3221225550/1.m3u8
军旅剧场,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
军事评论,http://39.134.65.166/PLTV/88888888/224/3221225535/1.m3u8
明星大片,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
农业致富,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/1.m3u8
武博世界,http://39.134.65.86/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8

康巴卫视,http://39.134.65.166/PLTV/88888888/224/3221225527/1.m3u8
安多卫视,http://39.134.65.166/PLTV/88888888/224/3221225531/1.m3u8
黑莓电影,http://39.134.65.106/PLTV/88888888/224/3221225681/1.m3u8?
超级电影,http://39.134.65.106/PLTV/88888888/224/3221225644/1.m3u8?
黑龙江农业科教,http://39.134.65.173/PLTV/88888888/224/3221225994/1.m3u8
黑龙江影视,http://39.134.65.106/PLTV/88888888/224/3221225971/1.m3u8?
黑龙江影视,http://39.134.65.106/PLTV/88888888/224/3221225973/1.m3u8?
黑龙江少儿,http://39.134.65.106/PLTV/88888888/224/3221225979/1.m3u8?
佳木斯新闻综合,http://39.134.65.106/PLTV/88888888/224/3221225993/1.m3u8?
北京纪实科教,http://39.134.65.106/PLTV/88888888/224/3221225670/1.m3u8?
哈尔滨新闻综合,http://39.134.65.106/PLTV/88888888/224/3221226093/1.m3u8?
哈尔滨生活,http://39.134.65.106/PLTV/88888888/224/3221226095/1.m3u8?
大庆新闻综合,http://39.134.65.106/PLTV/88888888/224/3221226052/1.m3u8?
鹤岗新闻综合,http://39.134.65.106/PLTV/88888888/224/3221226043/1.m3u8?
鹤岗新闻综合,http://39.134.65.106/PLTV/88888888/224/3221226073/1.m3u8?
黑龙江文体,http://39.134.65.106/PLTV/88888888/224/3221225965/1.m3u8?
黑龙江文体,http://39.134.65.106/PLTV/88888888/224/3221226012/1.m3u8?
黑龙江都市,http://39.134.65.106/PLTV/88888888/224/3221225969/1.m3u8?
黑龙江都市,http://39.134.65.106/PLTV/88888888/224/3221225990/1.m3u8?
超级综艺,http://39.134.65.106/PLTV/88888888/224/3221225642/1.m3u8?
金牌综艺,http://39.134.65.106/PLTV/88888888/224/3221225525/1.m3u8?
求索动物,http://39.134.65.106/PLTV/88888888/224/3221225730/1.m3u8?
求索纪录,http://39.134.65.106/PLTV/88888888/224/3221225713/1.m3u8?
求索科学,http://39.134.65.106/PLTV/88888888/224/3221225728/1.m3u8?
求索生活,http://39.134.65.106/PLTV/88888888/224/3221225715/1.m3u8?
睛彩竞技,http://39.134.65.106/PLTV/88888888/224/3221225897/1.m3u8?
超级体育,http://39.134.65.106/PLTV/88888888/224/3221225635/1.m3u8?
湖南卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226307/index.m3u8?IASHttpSessionId=
江苏卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226310/index.m3u8?IASHttpSessionId=
东方卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226345/index.m3u8?IASHttpSessionId=
浙江卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226339/index.m3u8?IASHttpSessionId=
北京卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226450/index.m3u8?IASHttpSessionId=
安徽卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226391/index.m3u8?IASHttpSessionId=
东南卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226341/index.m3u8?IASHttpSessionId=
甘肃卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226522/index.m3u8?IASHttpSessionId=
广东卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226248/index.m3u8?IASHttpSessionId=
广西卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226549/index.m3u8?IASHttpSessionId=
贵州卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226474/index.m3u8?IASHttpSessionId=
海南卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226465/index.m3u8?IASHttpSessionId=
河北卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226406/index.m3u8?IASHttpSessionId=
河南卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226480/index.m3u8?IASHttpSessionId=
黑龙江卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226327/index.m3u8?IASHttpSessionId=
湖北卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226477/index.m3u8?IASHttpSessionId=
吉林卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226397/index.m3u8?IASHttpSessionId=
江西卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226344/index.m3u8?IASHttpSessionId=
辽宁卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226546/index.m3u8?IASHttpSessionId=
内蒙古卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226389/index.m3u8?IASHttpSessionId=
宁夏卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226454/index.m3u8?IASHttpSessionId=
山东卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226456/index.m3u8?IASHttpSessionId=
山西卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226392/index.m3u8?IASHttpSessionId=
陕西卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226457/index.m3u8?IASHttpSessionId=
四川卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226338/index.m3u8?IASHttpSessionId=
天津卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226459/index.m3u8?IASHttpSessionId=
西藏卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226433/index.m3u8?IASHttpSessionId=
新疆卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226460/index.m3u8?IASHttpSessionId=
云南卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226444/index.m3u8?IASHttpSessionId=
重庆卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226409/index.m3u8?IASHttpSessionId=
 
📺央卫频道,#genre#
CCTV1-综合,http://111.196.131.47:8686/rtp/239.3.1.129:8008?$北京联通
CCTV1-综合,http://221.219.69.212:4000/rtp/239.3.1.129:8008?$北京联通
CCTV1-综合,http://218.91.101.237:8800/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://180.105.53.226:19999/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://180.111.29.44:8888/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://49.71.190.192:8000/rtp/239.49.8.19:9614?$江苏电信
CCTV1-综合,http://114.238.59.239:4000/rtp/239.49.8.19:9614?$江苏电信
CCTV2-财经,http://111.196.131.47:8686/rtp/239.3.1.60:8084?$北京联通
CCTV2-财经,http://221.219.69.212:4000/rtp/239.3.1.60:8084?$北京联通
CCTV2-财经,http://218.91.101.237:8800/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://180.105.53.226:19999/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://180.111.29.44:8888/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://49.71.190.192:8000/rtp/239.49.8.50:9802?$江苏电信
CCTV2-财经,http://114.238.59.239:4000/rtp/239.49.8.50:9802?$江苏电信
CCTV3-综艺,http://111.196.131.47:8686/rtp/239.3.1.172:8001?$北京联通
CCTV3-综艺,http://221.219.69.212:4000/rtp/239.3.1.172:8001?$北京联通
CCTV4-国际,http://111.196.131.47:8686/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://111.196.131.47:8686/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://111.196.131.47:8686/rtp/239.3.1.214:4220?$北京联通
CCTV4-国际,http://221.219.69.212:4000/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://221.219.69.212:4000/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://221.219.69.212:4000/rtp/239.3.1.214:4220?$北京联通
CCTV4-国际,http://218.91.101.237:8800/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://180.105.53.226:19999/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://180.111.29.44:8888/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://49.71.190.192:8000/rtp/239.49.8.51:9806?$江苏电信
CCTV4-国际,http://114.238.59.239:4000/rtp/239.49.8.51:9806?$江苏电信
CCTV5-体育,http://111.196.131.47:8686/rtp/239.3.1.173:8001?$北京联通
CCTV5+,http://111.196.131.47:8686/rtp/239.3.1.130:8004?$北京联通
CCTV5-体育,http://221.219.69.212:4000/rtp/239.3.1.173:8001?$北京联通
CCTV5+,http://221.219.69.212:4000/rtp/239.3.1.130:8004?$北京联通
CCTV5-体育,http://218.91.101.237:8800/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://218.91.101.237:8800/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://180.105.53.226:19999/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://180.105.53.226:19999/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://180.111.29.44:8888/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://180.111.29.44:8888/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://49.71.190.192:8000/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://49.71.190.192:8000/rtp/239.49.8.18:9610?$江苏电信
CCTV5-体育,http://114.238.59.239:4000/rtp/239.49.8.75:8000?$江苏电信
CCTV5+,http://114.238.59.239:4000/rtp/239.49.8.18:9610?$江苏电信

CCTV6-电影,http://111.196.131.47:8686/rtp/239.3.1.174:8001?$北京联通
CCTV6-电影,http://221.219.69.212:4000/rtp/239.3.1.174:8001?$北京联通
CCTV7-军事,http://111.196.131.47:8686/rtp/239.3.1.61:8104?$北京联通
CCTV7-军事,http://221.219.69.212:4000/rtp/239.3.1.61:8104?$北京联通
CCTV7-军事,http://218.91.101.237:8800/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://180.105.53.226:19999/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://180.111.29.44:8888/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://49.71.190.192:8000/rtp/239.49.1.254:6000?$江苏电信
CCTV7-军事,http://114.238.59.239:4000/rtp/239.49.1.254:6000?$江苏电信
CCTV8-电视剧,http://111.196.131.47:8686/rtp/239.3.1.175:8001?$北京联通
CCTV8-电视剧,http://221.219.69.212:4000/rtp/239.3.1.175:8001?$北京联通
CCTV9-纪录,http://111.196.131.47:8686/rtp/239.3.1.62:8112?$北京联通
CCTV9-纪录,http://221.219.69.212:4000/rtp/239.3.1.62:8112?$北京联通
CCTV9-纪录,http://218.91.101.237:8800/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://180.105.53.226:19999/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://180.111.29.44:8888/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://49.71.190.192:8000/rtp/239.49.8.53:9814?$江苏电信
CCTV9-纪录,http://114.238.59.239:4000/rtp/239.49.8.53:9814?$江苏电信
CCTV10-科教,http://111.196.131.47:8686/rtp/239.3.1.63:8116?$北京联通
CCTV10-科教,http://221.219.69.212:4000/rtp/239.3.1.63:8116?$北京联通
CCTV10-科教,http://218.91.101.237:8800/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://180.105.53.226:19999/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://180.111.29.44:8888/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://49.71.190.192:8000/rtp/239.49.8.54:9818?$江苏电信
CCTV10-科教,http://114.238.59.239:4000/rtp/239.49.8.54:9818?$江苏电信
CCTV11-戏曲,http://111.196.131.47:8686/rtp/239.3.1.152:8120?$北京联通
CCTV11-戏曲,http://221.219.69.212:4000/rtp/239.3.1.152:8120?$北京联通
CCTV11-戏曲,http://218.91.101.237:8800/rtp/239.49.1.11:6000?$江苏电信
CCTV11-戏曲,http://180.105.53.226:19999/rtp/239.49.1.11:6000?$江苏电信
CCTV11-戏曲,http://180.111.29.44:8888/rtp/239.49.1.11:6000?$江苏电信
CCTV11-戏曲,http://49.71.190.192:8000/rtp/239.49.1.11:6000?$江苏电信
CCTV11-戏曲,http://114.238.59.239:4000/rtp/239.49.1.11:6000?$江苏电信
CCTV12-社会与法,http://111.196.131.47:8686/rtp/239.3.1.64:8124?$北京联通
CCTV12-社会与法,http://221.219.69.212:4000/rtp/239.3.1.64:8124?$北京联通
CCTV12-社会与法,http://218.91.101.237:8800/rtp/239.49.8.55:9822?$江苏电信
CCTV12-社会与法,http://180.105.53.226:19999/rtp/239.49.8.55:9822?$江苏电信
CCTV12-社会与法,http://180.111.29.44:8888/rtp/239.49.8.55:9822?$江苏电信
CCTV12-社会与法,http://49.71.190.192:8000/rtp/239.49.8.55:9822?$江苏电信
CCTV12-社会与法,http://114.238.59.239:4000/rtp/239.49.8.55:9822?$江苏电信
CCTV13-新闻,http://111.196.131.47:8686/rtp/239.3.1.124:8128?$北京联通
CCTV13-新闻,http://221.219.69.212:4000/rtp/239.3.1.124:8128?$北京联通
CCTV14-少儿,http://111.196.131.47:8686/rtp/239.3.1.65:8132?$北京联通
CCTV14-少儿,http://221.219.69.212:4000/rtp/239.3.1.65:8132?$北京联通
CCTV14-少儿,http://218.91.101.237:8800/rtp/239.49.8.56:9826?$江苏电信
CCTV14-少儿,http://180.105.53.226:19999/rtp/239.49.8.56:9826?$江苏电信
CCTV14-少儿,http://180.111.29.44:8888/rtp/239.49.8.56:9826?$江苏电信
CCTV14-少儿,http://49.71.190.192:8000/rtp/239.49.8.56:9826?$江苏电信
CCTV14-少儿,http://114.238.59.239:4000/rtp/239.49.8.56:9826?$江苏电信
CCTV15-音乐,http://111.196.131.47:8686/rtp/239.3.1.153:8136?$北京联通
CCTV15-音乐,http://221.219.69.212:4000/rtp/239.3.1.153:8136?$北京联通
CCTV15-音乐,http://218.91.101.237:8800/rtp/239.49.1.15:6000?$江苏电信
CCTV15-音乐,http://180.105.53.226:19999/rtp/239.49.1.15:6000?$江苏电信
CCTV15-音乐,http://180.111.29.44:8888/rtp/239.49.1.15:6000?$江苏电信
CCTV15-音乐,http://49.71.190.192:8000/rtp/239.49.1.15:6000?$江苏电信
CCTV15-音乐,http://114.238.59.239:4000/rtp/239.49.1.15:6000?$江苏电信
CCTV16-奥林匹克,http://111.196.131.47:8686/rtp/239.3.1.184:8001?$北京联通
CCTV16-奥林匹克,http://221.219.69.212:4000/rtp/239.3.1.184:8001?$北京联通
CCTV17-农业农村,http://111.196.131.47:8686/rtp/239.3.1.151:8144?$北京联通
CCTV17-农业农村,http://221.219.69.212:4000/rtp/239.3.1.151:8144?$北京联通
CCTV17-农业农村,http://218.91.101.237:8800/rtp/239.49.8.52:9810?$江苏电信
CCTV17-农业农村,http://180.105.53.226:19999/rtp/239.49.8.52:9810?$江苏电信
CCTV17-农业农村,http://180.111.29.44:8888/rtp/239.49.8.52:9810?$江苏电信
CCTV17-农业农村,http://49.71.190.192:8000/rtp/239.49.8.52:9810?$江苏电信
CCTV17-农业农村,http://114.238.59.239:4000/rtp/239.49.8.52:9810?$江苏电信
CCTV1-综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
4K,http://111.196.131.47:8686/rtp/239.3.1.249:8001?$北京联通
4K,http://221.219.69.212:4000/rtp/239.3.1.249:8001?$北京联通
华数4K,http://111.196.131.47:8686/rtp/239.3.1.236:2000?$北京联通
华数4K,http://221.219.69.212:4000/rtp/239.3.1.236:2000?$北京联通
湖南卫视,http://111.196.131.47:8686/rtp/239.3.1.132:8012?$北京联通

